CODE|STR
S05.1|HEMATOMA SUBCUTA./GENERALIZ.
S06.7|RASH, EXANT., LABIOS
S06.5|ERITEMA PERIANAL
S06.2|RASH, EXANT., LOCALIZADO
S06.0|ERITEMA/RASH LOCALIZADO (NO MAPEA)
S07.1|CALOR RASH, EXANTEMA
S07.2|ERITEMA GENERALIZADO
S07.4|RASH, EXANT., GENERALIZADO
S07.5|RASH PAPULOS NC
S07.0|ERITEMA/RASH GENERALIZADO (NO MAPEA)
S08.8|CIANOSIS PIEL
S08.1|CAMBIO (EN) (DE) PIEL NC COLOR
P70.3|DEMENCIA. VEASE PSICOSIS ENF. DE ALZHEIMER
P70.10|DEMENCIA MIXTA
P70.0|DEMENCIA (NO MAPEA)
P70.2|DEMENCIA. VEASE PSICOSIS
P70.9|DEMENCIA
P71.2|MENTAL DEF., RETRA., SUBNORM. POR LESI. ORGANICOCE.
P71.4|PSICOSIS, PSICOTICO ORGANICA TRANSITORIA (OTRAS)
P71.5|REACCION PARANOIDE
P71.3|PSICOSIS, PSICOTICO ORGANICA
P72.0|ESQUIZOFRENIA (NO MAPEA)
P72.14|ESQUIZOFRENIA SIMPLE
P72.2|ESTADO PARANOIDE
P72.3|PARAFRENIA
P72.5|PSICOSIS, PSICOTICO CATATONICA
P72.6|PSICOSIS, PSICOTICO ESPECIFICA NC
P72.8|PSICOSIS, PSICOTICO PARANOIDE
P72.9|PSICOSIS, PSICOTICO, ESQUIZOFRENIA (TODOS LOS TIPOS) NC
P72.10|ESQUIZOFRENIA
P72.11|ESQUIZOFRENIA DESORGANIZADA (HEBEFRENICA)
P72.12|TRASTORNO DELIRANTE
P72.13|TRASTORNO ESQUIZOAFECTIVO
P72.1|ESTADO CATATONICO
P73.6|PSICOSIS, PSICOTICO FENOMENOLOGICA NC
P73.7|PSICOSIS, PSICOTICO MANIACO-DEPRESIVA
P73.8|TRASTORNO BIPOLAR
P73.1|DEPRIMIDO, DEPRESIVA PSICOSIS
P73.2|HIPOMANIA
P73.3|MANIA, NC
L86.16|HERNIA DISCAL L5-S1
L86.14|HERNIA DISCAL LUMBAR
L86.11|SINDROME DISCAL TORACICO
L86.10|SINDROME DISCAL SACROILIACO
L86.9|SINDROME DISCAL LUMBAR
L86.7|NEURITIS TORACICA NC
L86.5|LUXACION DISCO LUMBAR
L86.3|HERNIA NUCLEO PULPOSO NC
L86.1|CIATICA
L87.1|GANGLION (ART. O TEND.)
L87.2|QUISTE SINOVIAL
L87.4|CAPSULITIS
L87.8|ALTERACION SINOVIAL, NC
L87.10|BURSITIS
L87.14|ARTICULACION SINOVIAL, CPO. LIBRE (EXCEPTO RODILLA)
L87.16|ESPOLON OSEO
L87.19|PREPATELAR, BURSITIS
L87.20|SINOVITIS VILLONODULAR
L87.22|BURSITIS (RODILLA)
L87.24|BURSITIS CADERA
L87.26|BURSITIS PERTROCANTEREA
L87.28|CAPSULITIS TRAUMATICA
K78.6|CRISIS DE FIBRIL.LACIO AURICULAR
K78.3|AURICULAR FIBRILACION PAROXISTICA
K79.0|TAQUICARDIA PAROXISTICA (NO MAPEA)
K79.3|TAQUICARDIA PAROXISTICA VENTRICULAR NC
K79.4|TAQUICARDIA SUPRAVENTRICULAR
K80.4|PREMATURO LATIDO
K80.3|EXTRASISTOLES
K80.6|EXTRASISTOLE SUPRAVENTRICULAR
K80.7|EXTRASISTOLE VENTRICULAR
K80.9|FIBRILACION VENTRICULAR
K80.11|DISRRITMIA CARDIACA NC
K80.12|ENFERMEDAD DEL SENO
K80.1|ALETEO VENTRICULAR
K81.2|FUNCIONAL SOPLO CARDIACO (INOC.)
K81.4|SOPLO CAROTIDEO
K81.1|CORAZON SOPLO NC O ND
K82.1|ATEROESCLEROSIS PULMONAR
K82.0|ENFERMEDAD PULMONAR CARDIACA (NO MAPEA)
K82.4|HIPERTEN., HIPERTENSIVO PULMONAR (PRIM., IDIOP.)
K82.2|COR PULMONALE
K83.1|AORTICA, DOBLE LESION (NO REUMAT.)
K83.3|ENFERMEDAD AORT. (VALV.) (NO REUM.) NC
K83.4|ENFERMEDAD MITRAL (VALV.) (CRON.) NO REUMATICA NC
K83.6|ESTENOSIS MITRAL NO REUMATICA
K83.7|ESTENOSIS PULMONAR NO REUMATICA (VALV.)
K83.9|INSUFICIENCIA AORTICA NO REUMATICA
K83.10|INSUFICIENCIA MITRAL NO REUMATICA
K83.13|VALVULOPATIA AORTICA
K83.14|PROLAPSO MITRAL
K83.16|ESTENOSIS MITRAL
K83.20|ESCLEROSIS AORTICA
K83.0|ENFERMEDAD VALVULAR CARDIACA (NO MAPEA)
K84.30|BLOQUEO, AURICULOVENTRICULAR COMPLETO 
K84.1|BLOQUEO, AURICULOVENTRICULAR
K84.2|BLOQUEO, RAMA, DE
K84.3|BLOQUEO, TAPONAMIENTO CARDIACO
K84.4|CARDIOMEGALIA
K84.5|CARDIOMIOPATIA
K84.6|ENFERMEDAD CARDIACA ESPECIFICA NC
K84.8|HIPERTR., HIPERTROFICO CARDIACA
K84.9|MIOCARDIOPATIA DILATADA
K84.10|TAPONAMIENTO CARDIACO (TRAUM./OTR. EXC. INFARTO)
K84.12|BLOQUEO DE RAMA IZQUIERDA
K84.13|CARDIACO PARADA
K84.14|DERRAME PERICARDICO
K84.15|HEMIBLOQUEO
K84.16|PERICARDITIS AGUDA (EXCLU. INFECCIOSA)
K84.17|PERICARDITIS CONSTRICTIVA
K84.19|HEMIBLOCATGE INFERO-POST. BEFH
K84.20|HEMIBLOCATGE SUPERO-ANTERIOR BEFH
K84.23|PERICARDITIS
K84.24|CARDIOPATIA
K84.26|HEMIBLOQUEO IZQUIERDO ANTERIOR
K84.28|MIOCARDIOPATIA HIPERTROFICA OBSTRUCTIVA
K85.1|PRESION ARTERIAL ELEVADA (SIN HTA)
K85.4|TENSIO ARTERIAL LIMIT
K85.10|HIPERTEN., HIPERTENSIVO LABIL
K85.7|SOSPECHA (DE PADEC.) HIPERTENSION
K85.8|CRISIS HIPERTENSIVA
K85.5|HTA TRANSITORIA, HIPERTENSION ARTERIAL
K86.2|HIPERTEN., HIPERTENSIVO
K86.3|HIPERTEN., HIPERTENSIVO NO COMPLICADA
K86.5|HTA
K86.8|HIPERTENSION ARTERIAL ESENCIAL
K86.9|HTA GRAU I
K86.12|HTA ESENCIAL GRADO C
K87.0|HIPERTENSION AFECTACION ORG DIANA (NO MAPEA)
K87.2|HIPERTEN., HIPERTENSIVO AFECT. DE ORGA. DIANA (EXC. RETINA)
K87.3|HIPERTEN., HIPERTENSIVO CARDIACA
K87.5|HIPERTEN., HIPERTENSIVO MALIGNA
F94.6|PERDIDA VISTA
F94.11|REDUCCION DE LA AGUDEZA VISUAL
F94.1|BAJA VISUAL, AGUDEZA
F94.5|PARCIAL VISTA (CEGUERA)
F95.1|ESTRABISMO
F95.2|ESTRABISME CONVERGENT
F95.4|PSEUDOESTRABISMO
F95.5|BIZQUEO
F99.0|OTR ENF/PROB DE OJOS/ANEJOS (NO MAPEA)
F99.7|CORNEAL OPACIDADES
F99.9|DIPLOPIA
F99.10|ECTROPION
F99.12|ENTROPION
F99.16|PTERIGION
F99.18|VISUAL, CAMPO DEFECTO DEL
F99.20|ATROFIA OPTICA
F99.24|LAGOFTALMOS
F99.26|DESPRENDIMIENTO VITREO
F99.28|ESCLERITIS, EPIESCLERITIS
F99.30|ESCLERITIS, EPIESCLERITIS - DERECHO/A
F99.2|ANILLO SENIL
F99.5|COLOR, VISION DEL DEFICIENTE
H01.6|MOLESTIA OIDA/ORELLA NC
H01.3|OIDO, OREJA DOLOR
H01.1|DOLOR AREA MASTOIDEA/OIDO NC
H01.2|DOLOR OIDO NC
H02.4|PROBLEMA OIDO NC
H02.1|AUDICION, DISMINUCION DE LA
H02.3|INCAPACIDAD OIR (BIEN)
H02.0|SIG/SIN AUDITIVOS (NO MAPEA)
H03.7|PITIDO DE OIDO
H03.8|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
H03.5|OIDO, OREJA ZUMBIDO
H03.4|OIDO, OREJA RUIDO
H03.3|OIDO, OREJA RESONANTE
P73.4|PSICOSIS, PSICOTICO AFECTIVA
P73.9|TRASTORNO CICLOTIMICO
P74.1|ANSIEDAD ESTADO DE
P74.2|ANSIEDAD NEUROSIS DE
P74.9|TRASTORNO ADAPTATIVO CON ANIMO ANSIOSO (ANSIEDAD)
P74.5|TRASTORNO DE ANSIEDAD CON AGORAFOBIA
P74.7|TRAST. D'ANSIETAT + CRISIS ANGOIXA
P74.8|ANSIEDAD CRONICA
P75.2|CONVERSION HISTERICA
P75.3|HIPOCONDRIA
P75.6|TRASTORNO DE CONVERSION
P75.7|TRASTORNO DISMORFICO CORPORAL
P75.10|SENTIRSE HISTERICO
P76.0|DEPRESION/TRASTORNO DEPRESIVO (NO MAPEA)
P76.1|DEPRESION
P76.2|NEUROSIS DEPRESION NC
P76.4|ENDOGENA, DEPRESION
P76.5|TRASTORNO DEPRESIVO MENOR
P76.6|TRASTORNO DISTIMICO (DISTIMIA)
P01.3|NERVIOS/ANSIEDAD
P01.4|PREOCUPADO, ESTAR (ANS.)
P01.7|TEMOR
P01.8|NERVIOSISME
K87.8|HTA (COMPL.)
K87.10|NEFROESCLEROSIS (SECUN. A HIPERTENSION)
K87.11|MIOCARDIOPATIA HIPERTROFICA PER HTA
K87.1|ATEROESCLEROSIS RENAL (SECUNDARIA A HIPERT.)
K88.0|HIPOTENSION POSTURAL (NO MAPEA)
K88.1|HIPOTENSION (POSTURAL)
K89.1|ATAQUE, DESMAYO ISQUEMICO TRANSITORIO
K89.3|SINDROME ROBO DE LA SUBCLAVIA
L92.11|TENDINITIS DEL SUPRAESPINOSO
L92.12|SIND. ESPATLLA DOLOROSA
L92.13|ROTURA DEL SUPRAESPINOSO
L92.1|BURSITIS HOMBRO
L93.1|EPICONDILITIS
L93.4|ENTESOPATIA CODO / EPICONDILITIS / BURSITIS OLECRANIANA
L93.3|EPITROCLEITIS
L93.2|TENDINITIS CODO
L94.7|OSTEOCONDRITIS DISECANTE
L94.8|EPIFISIOLISIS FEMORAL
L94.9|OSTEOCONDROSIS DE RODILLA
L94.10|EPIFISIOLISIS
L94.11|OSTEOCONDRITIS
L94.6|LUXACION EPIFISIS FEMORAL
L94.1|CALVE-PERTHES, ENF. DE
L94.2|DESPLAZAMIENTO EPIFISIS FEMORAL
L94.4|ENFERMEDAD SCHEUERMANN, DE NC
L94.5|EPIFISITIS
L94.12|ENFERMEDAD DE SERVER
L95.0|OSTEOPOROSIS (NO MAPEA)
L03.11|LUMBALGIA MECANICA
L04.9|DOLOR PECHO
L04.7|DOLOR RETROESTERNAL
L04.4|DOLOR TORACICO PARIETAL
L04.3|DOLOR COSTADO
L04.2|DOLOR COSTAL
L04.6|DOLOR ESTERNON
L05.6|DOLOR AIXELLA
L05.1|DOLOR FLANCO NC
L05.3|SIGNO/SINTOMA DE FLANCO Y AXILA
L07.2|SINTOMA, QUEJA, SIGNO MANDIBULA NC
L07.1|DOLOR MANDIBULA NC
L07.3|SIGNO/SINTOMA DE LA ARTICULACION TEMPOROMANDIBULAR
L08.4|DOLOR CLAVICULA
L08.2|SINTOMA, QUEJA, SIGNO HOMBRO NC
L09.2|DOLOR BRAZO NC
L09.1|DOLOR BRAZO MUSCULO ESQUELETI. NC
L09.4|PRONACION DOLOROSA
L10.1|DOLOR CODO NC
L10.0|SIG/SIN DEL CODO (NO MAPEA)
L11.1|DOLOR MUÑECA MUSCULO ESQUELETI. NC
L11.3|SINTOMA, QUEJA, SIGNO CARPO NC
L11.0|SIG/SIN DE LA MUÑECA (NO MAPEA)
L12.1|CALAMBRE MANO
L12.3|DOLOR DEDOS, MANO NC
L12.4|DOLOR MANO MUSCULO ESQUELETI. NC
L12.0|SIG/SIN DE LA MANO Y SUS DEDOS (NO MAPEA)
L13.12|PUBALGIA
L13.11|TROCANTERITIS / BURSITIS DE CADERA
L13.9|ASIMETRIA DE PLIEGUES
L13.8|COXALGIA MECANICA NC
L13.6|CHASQUIDO DE CADERA (NEONATAL)
L13.2|DOLOR CADERA NC
L13.4|COXALGIA
L13.5|CADERA LAXA (NEONATAL)
L14.12|DISMETRIA MMII
L14.10|PESADESA DE CAMES NC
L14.7|DOLOR PIERNA NC
L14.6|DOLOR PIERNA MUSCULO ESQUELETI. NC
L14.4|DOLOR MUSLO MUSCULO ESQUELETI. NC
L14.2|CALAMBRE PANTORRILLA
L14.9|SINTOMA, QUEJA, SIGNO PIERNA NC
L15.6|GONALGIA-GONARTROSIS 
L15.3|SINTOMA, QUEJA, SIGNO RODILLA NC
L15.5|GONALGIA MECANICA
L15.1|DOLOR RODILLA MUSCULO ESQUELETI. NC
L15.2|DOLOR RODILLA NC
L16.4|SINTOMA, QUEJA, SIGNO TOBILLO NC
L16.2|DOLOR TOBILLO NC
L16.1|DOLOR TOBILLO MUSCULO ESQUELETI. NC
L17.1|CALAMBRE PIE
L17.3|DOLOR DEDOS, PIE NC
L17.4|DOLOR PIE MUSCULO ESQUELETI. NC
L17.5|DOLOR PIE NC
L17.7|SINTOMA, QUEJA, SIGNO PIE NC
L17.8|SINTOMA, QUEJA, SIGNO TARSO NC
L17.10|METATARSALGIA
L17.0|SIG/SIN DEL PIE Y SUS DEDOS (NO MAPEA)
L18.11|MIOSITIS NC
L18.12|REUMATISMO (NO ARTICULAR) NC
L18.10|FIBROSITIS NC
L18.9|FASCITIS (VEASE REGION ESPECIFICA) NC
L18.7|ESPASMO MUSCULAR NC
L18.6|DOLOR MUSCULO NC
L18.5|DOLOR MUSCULO MULTIPLE NC
L18.4|CONTRACTURA MUSCULAR NC
L18.3|CALAMBRE MUSCULAR NC (VEASE SINT. POR REGIONES)
K71.13|FIEBRE REUMATICA AGUDA
K71.14|MIOCARDITIS REUMATICA (AGUD./CRON.)
K71.15|MITRAL, DOBLE LESION (REUMATICA)
K71.17|PERICARDITIS CRONICA REUMATICA
K71.18|VALVULOPATIA REUMATICA NC
K71.20|INSUFICIENCIA MITRAL REUMATICA
K72.1|NEOPLASIA BENIGNA AP. CIRCULATORIO (CUALQUIER PARTE)
K72.2|NEOPLASIA MALIGNA APARATO CIRCULATORIO (CU. PARTE)
K73.17|OSTIUM SECUNDUM / DEFECTO TABIQUE AURICULAR
K73.16|FORAMEN OVALE PERMEABLE
K73.14|COMUNICACIO INTERVENTRICULAR CONGENITA
K73.9|TRANSPOSICION DE LOS GRANDES VASOS
L70.7|OSTEOMIELITIS
L70.6|OSTEITIS PIOGENA
L70.3|BORNHOLM, ENF. DE
L70.14|ARTROSI/ARTRITIS SEPTICA
L71.9|CONDROSARCOMA
L71.7|OSTEOSARCOMA
L71.6|NEOPLASIA MALIGNA TENDON
L71.5|NEOPLASIA MALIGNA TEJIDO CONJUNTIVO
L71.4|NEOPLASIA MALIGNA SISTEMA LOCOMOTOR (CU. PARTE)
L71.3|NEOPLASIA MALIGNA MUSCULO
L71.1|NEOPLASIA MALIGNA HUESO
L71.2|NEOPLASIA MALIGNA LIGAMENTOS
L72.8|FISURA RADIO
L72.4|FRACTURA DE CUBITO Y RADIO
L72.2|FRACTURA CUBITO
L72.7|FRACTURA-LUXACION DE MONTEGGIA
L72.0|FRACTURA DEL CUBITO/RADIO (NO MAPEA)
L73.6|FRACTURA MAL.LEOL INT.
L73.0|FRACTURA DE TIBIA/PERONE (NO MAPEA)
L73.1|FRACTURA PERONE
L73.2|FRACTURA TIBIA
L73.5|FRACTURA MAL.LEOL EXT.
L74.1|FRACTURA CARPO
L74.2|FRACTURA FALANGES
L74.4|FRACTURA METACARPO
L74.6|FRACTURA PIE
L74.10|FRACTURA DE ASTRAGALO
L74.11|FRACTURA DE CALCANEO
L74.13|FRACTURA MALEOLAR
L74.16|FRACTURA FALANGES MA
L75.1|FRACTURA CADERA NC
L75.2|FRACTURA CUELLO FEMORAL
L75.3|FRACTURA DIAFISIS FEMORAL
L75.4|FRACTURA FEMUR
L75.0|FRACTURA DE FEMUR (NO MAPEA)
L76.0|OTRAS FRACTURAS (NO MAPEA)
P13.2|ENCOPRESIS
P15.11|CELOTIPIA ALCOHOLICA
P15.12|SINDROME AMNESICO DEL ALCOHOL
P15.13|BEVEDOR DE RISC D'ENOL
P15.14|BEVEDOR EXCESSIU
P15.15|ALCOHOL
P15.16|PROBLEMA ALCOHOL
P15.17|DESHABITUACION ALCOHOL
P15.19|CONSEJO TERAPEUTICO ALCOHOLISMO
P15.10|PROBLEMA ALCOHOL CRONICO NC
P15.2|ABUSO (DE) ALCOHOL CRONICO
P15.8|DIPSOMANIA
P15.9|INCAPACIDAD DEJAR DE BEBER
P15.4|ADICCION/DEPENDENC. ALCOHOLICA DEMENCIA
P15.5|ADICCION/DEPENDENC. ALCOHOLICA PSICOSIS ORGANICA
P15.6|ALCOHOLISMO
P15.1|ABSTINENCIA SINDRO. DE ALCOHOL
P15.0|ABUSO CRONICO DEL ALCOHOL (NO MAPEA)
P16.0|ABUSO AGUDO DEL ALCOHOL (NO MAPEA)
P16.2|PROBLEMA ALCOHOL AGUDO NC
P17.11|TABACO
P17.6|ABSTINENCIA AL TABACO
P17.3|FUMAR (TABACO)
P17.9|DEJAR DE FUMAR
P17.8|CONSULTA TABACO
P17.7|ABUSO DEL TABACO-EXFUMADOR
P17.0|ABUSO DEL TABACO (NO MAPEA)
P18.0|ABUSO DE FARMACOS (NO MAPEA)
P18.2|ABUSO DE FARMACOS NO DEPENDIENTE
P19.2|ABUSO (DE) COLA, PEGAMENTO
P19.4|ABUSO (DE) DROGAS NO DEPENDIENTE
P19.5|ABUSO (DE) OTRAS SUSTANCIAS
P19.7|COLA ESNIFAR (HABITO)
P19.9|PROBLEMA DROGAS NC
P19.11|ADICCION A DROGAS VIA PARENTERAL (ADVP)
P19.12|ABUS D'HEROINA
P19.14|ABUS DE COCAINA
P19.17|ADDICCIO A COCAINA
P19.19|EX-ADICCION A DROGAS VIA PARENTERAL (ADVP)
P19.20|CONSEJO TERAPEUTICO ABUSO DE DROGAS
P20.13|PERDIDA MEMORIA (TEMPORAL)
P20.1|AMNESIA
P20.3|DESCUIDO
P20.6|DISTUR./ALTER. CONCENTRACION
P20.8|DISTUR./ALTER. ORIENTACION
P20.9|FALTA MEMORIA
P20.12|OLVIDO
P22.5|TIMIDEZ (EXCE. EN NIÑOS)
P22.4|FOBIA A LA ESCUELA
P22.1|ALTERACION CONDUCTA NIÑO
P23.3|DISTUR./ALTER. EMOCIONAL NC ADOLESCENTE
P23.1|ADOLESCENCIA PROBLEMAS (DE) CONDUCTA
P24.8|NIÑO PROBL. DE DESARR. MENTAL
P24.9|PROBLEMA DESARR., PARA LA EDAD NC
P24.11|RETRASO DEL LENGUAJE
P24.12|RETRASO ESCOLAR
P24.14|DISLALIA
P24.0|PROBL ESPECIFICOS DEL APRENDIZAJE (NO MAPEA)
P24.1|ADOLESCENCIA PROBLEMAS (DE) DESARROLLO MENTAL
P24.2|ADOLESCENCIA PROBLEMAS DE APRENDIZAJE
P24.3|ALTERACION APRENDIZAJE
P24.7|NIÑO PROBL. DE APRENDIZAJE
P25.0|PROBL ETAPAS DE LA VIDA EN ADULTOS (NO MAPEA)
P25.7|PROBLEMA ESTADO CIVIL (CAMBIO) NC
P25.1|ADOLESCENCIA CAMBIO DE NIÑEZ A
P25.3|DIVORCIO NUEVA ETAPA TRAS
P25.5|JUBILACION
P27.0|MIEDO A UNA ENFERMEDAD MENTAL (NO MAPEA)
P27.2|MIEDO (DE PADEC.) SUICIDIO
P27.1|MIEDO (DE PADEC.) PERDER MI MENTE
P29.14|ALIMENTACION PROBLS. PSICOLOGICOS
P29.16|ALTERACION APETITO (PSICOGENA)
P29.18|ALUCINACIONES
P29.20|CELOTIPIA
P29.22|CELOS
P29.4|DISTUR./ALTER. PSICOLOGICO NC
P29.2|COMPORTAMIENTO EXTRAÑO, NC
P29.0|OTR SIG/SIN PSICOLOGICOS/MENTALES (NO MAPEA)
P29.7|ONICOFAGIA
P31.1|EXAMEN PSICOLOGICO PARCIAL
P58.0|CONSEJO TERAP/ESCUCHA TERAP (NO MAPEA)
P58.2|GRUPO, PSICOTERAP. DE
P70.4|PSICOSIS, PSICOTICO ARTERIOESCLEROTICA
P70.5|PSICOSIS, PSICOTICO PRESENIL
P70.6|PSICOSIS, PSICOTICO SENIL
P70.7|SENIL DEMENCIA
P70.8|DEMENCIA VASCULAR
N05.0|HORMIGUEO EN MANOS Y PIES (NO MAPEA)
N05.2|SENSACION HORMIGUEO EN LAS EXTREMIDADES
N05.5|FORMIGUEIG EXTREMITAT SUPERIOR
N05.6|FORMIGUEIG EXTREMITAT INFERIOR
N06.8|ENTUMIMENT NEUROLOGIC
N06.14|PARESTESIES A EXTREMITATS
N06.0|OTR ALTERACIONES DE LA SENSIBILIDAD (NO MAPEA)
N06.12|SENSACION DE ANESTESIA/ENTUMECIMIENTO/PERDIDA SENSIBILIDAD
N06.10|PARESTESIA MANOS
N06.9|MERALGIA PARESTESICA
N06.2|ANORMALIDAD SENSACION(ES) NC NO CLASIFICADAS
N06.7|DISESTESIES
N07.3|CRISIS CONVULSIVA FEBRIL (INFANTIL)
N07.2|CONVULSIONES FEBRILES
N08.13|TIC ORIGEN ORGANICO
N08.14|FASCICULACIONES
N08.11|ESPASMO
N08.10|TEMBLOR SENIL
N08.9|TEMBLOR MANOS
N08.8|TEMBLOR INTENCIONAL
N08.6|TEMBLOR ESENCIAL FAMILIAR
N08.5|TEMBLOR ESENCIAL
N08.4|TICS
N08.3|TEMBLOR
N08.2|DISTONIA, ESPASMOS, MIOCLONIA, TEMBLOR, TICS, TETANIA
N08.0|MOVIMIENTOS INVOLUNTARIOS ANOR (NO MAPEA)
N08.12|SACUDIDAD/MOVIMIENT. MANOS/PIES
N16.1|ANORMAL GUSTO NEUROLOGICA
N16.0|ALTERACIONES DEL GUSTO Y DEL OLFATO (NO MAPEA)
N16.6|INCAPACIDAD OLER
N16.5|GUSTO PERDIDA DEL
N16.4|GUSTO AMARGO
N16.3|ANORMAL SENSACION(ES) NC OLFATORIA
N16.2|ANORMAL SENSACION(ES) NC GUSTATIVA
N17.0|VERTIGO/VAHIDO (NO MAPEA)
N17.8|VERTIGO
N17.10|MAREO
N17.12|MAREO INESPECIFICO
N17.13|VERTIGO / MAREO / VAHIDO
N17.7|VAHIDO/VERTIGO
N17.1|DESVANECIMIENTO (VAHIDO)
N17.3|MAREO / VAHIDO (SIN SINCOPE)
N17.14|VERTIGO Y MAREO/S
N17.6|SENSACION VERTIGINOSA
N18.0|PARALISIS/DEBILIDAD (NO MAPEA)
N18.14|HEMIPLEGIA CRURAL
N18.13|HEMIPLEGIA BRAQUIO-CRURAL
N18.11|HEMIPARESIA FACIO-BRAQUIO-CRURAL
N18.10|HEMIPARESIA CRURAL
N18.8|HEMIPARESIA BRAQUIAL
N18.7|PARESIA (NC)
N18.5|PARESIA PIERNA/PIE
N18.3|PARALISIS PIERNA/PIE
N18.1|DEBIL, DEBILID. (GRLZDA.) NEUROLOGICA (PARESIA)
N19.9|DISFASIA
N19.8|DISARTRIA
N19.7|SILABAS, PERDER, AL HABLAR
N19.6|PERDIDA LENGUAJE
N19.0|ALTERACIONES DEL LENGUAJE (NO MAPEA)
N19.4|DISTUR./ALTER. LENGUAJE
N19.2|ALTERACION LEGUAJE (NEUROLOG.)
N19.1|AFASIA
N19.5|INCAPACIDAD HABLAR
N27.0|MIEDO OTR ENF NEUROLOGICAS (NO MAPEA)
N27.1|MIEDO (DE PADEC.) ENFERMEDAD NEUROLOGICA
N28.1|INCAPACIDAD (MINUSV.) NC SISTEMA NERVIOSO
N29.9|COJERA (NEUROLOGICA)
N29.11|ANORMALIDAD MARCHA
N29.6|ATASIA
N29.5|APRASIA
N29.2|DOLOR NEUROLOGICO NC
N29.7|ATROFIA CEREBRAL CORTICAL
N34.1|TEST, PRUEBA, MET. DIAG. SANGRE FENILHIDANTOINA
N41.1|TOMOGRAFIA CEREBRO
N42.2|REFLEJO, TIEMPO DE
N51.2|LUMBAR, PUNCION
N55.5|NERVIO BLOQUEO
N55.1|"INYECCION PUNTO ""GATILLO"" (TRI.)"
N70.2|POLIOMIELITIS
N70.0|POLIOMIELITIS (NO MAPEA)
N71.1|BACTERIANA MENINGITIS
N71.8|MENINGOCOCIA
N71.10|MENINGITIS CRIPTOCOCICA
N71.11|MENINGITIS PURULENTA
N71.4|MENINGITIS MENINGOCOCICA
N71.2|ENCEFALITIS
L99.51|DISTROFIAS MUSCULARES Y OTRAS MIOPATIAS
L99.52|LUPUS ERITEMATOSO
L99.54|LUXACION (ARTICULAC.) MENISCO, CRONICA
L99.56|LESION RODILLA (INTERNA) CRONICA NC
L99.57|MIOPATIA NO ESPECIFICADA
L99.2|ARTROPATIA (ASOCIADA A) SINDROME DE BEHCET
N01.10|CEFALEA POR ABUSO DE ANALGESICOS
N01.0|CEFALEA (NO MAPEA)
N01.1|CEFALEA, NC
N01.2|CEFALEA / DOLOR DE CABEZA / DOLOR FACIAL
N01.3|CEFALEA CERVICAL, NUCAL
N01.4|CEFALEA CRONICA
N01.5|CEFALEA CRONICA DIARIA
N01.9|CEFALEA OCCIPITAL
N01.11|CEFALEA POSTRAUMATICA
N01.8|CEFALEA VASCULAR
N01.7|CEFALEA MIXTA
N01.6|CEFALEA FRONTAL
N03.0|DOLOR EN LA CARA (NO MAPEA)
N03.6|MOLESTIES A CARA NC
N03.5|DOLOR PUNYENT A CARA
N03.2|DOLOR CARA NERVIOSO NC
N03.1|DOLOR CARA NC
N03.3|PUNZANTE, SENSACION, EN LA CARA
N03.4|ALGIA FACIAL ATIPICA
N04.1|INTRANQUILIDAD/ENVEJE. SINDR. DE PIERNAS INQU.
N04.0|SINDROME DE PIERNAS INQUIETAS (NO MAPEA)
L18.14|POLIMIALGIA
L18.15|ROTURA FIBRILAR
L18.16|REUMATISMO
L18.18|MIALGIA Y MIOSITIS NO ESPECIFICADO 
L18.19|TRAST. DEL MUSCULO, LIGAMENTO O FASCIA 
L18.20|FIBROMIALGIA
L18.21|MIOSITIS OSIFICANTE LOCALIZADA
L18.1|ALTERACION FASCIA
L18.2|ALTERACION MUSCULAR, NC
L19.7|DEBILIDAD MUSCULAR NE
L19.6|DISTENSION MUSCULAR
L19.4|INFLAMACION, MUSCULAR NC
L19.0|OTROS SIG/SIN MUSCULARES NE (NO MAPEA)
L19.1|CONTRACTURA DE DUPUYTREN
L19.8|FATIGA MUSCULAR NE
L20.6|SINTOMA, QUEJA, SIGNO ARTICULACIONES (MULT.) NC
L20.8|MOLESTIES ARTICULARS INESPEC.
L20.11|ARTICULAR, INFLAMACION UNICA
L20.10|ARTROMIALGIAS
L20.9|ARTRALGIA GENERALIZADA
L20.1|ARTICULAR, INFLAMACION MULTIPLE
L20.2|DEBIL, DEBILID. (GRLZDA.) ARTICULAR
L20.3|DOLOR ARTICULACION MULTIPLE NC
L20.4|DOLOR ARTICULACION NC
L27.1|MIEDO (DE PADEC.) ENFERMEDAD DEL APARATO LOCOM.
L27.0|MIEDO OTR ENF APARATO LOCOMOTOR (NO MAPEA)
L28.1|DIFICUL. ANDAR
L28.4|TROPEZAR (PROBL. LOCOM.)
L28.6|DETERIORO DE LA MOVILIDAD FISICA 
L28.3|INCAPACIDAD ANDAR
L29.0|OTROS SIG/SIN APARATO LOCOMOTOR (NO MAPEA)
L29.8|CALAMBRES
L29.7|DOLOR MIEMBROS (CRECIMIENTO)
L29.6|SINTOMA, QUEJA, SIGNO LOCOMOTOR NC
L29.5|DOLOR MUÑON NC
L29.4|DOLOR MIEMBRO NC
L29.3|DOLOR MIEMBRO MUSCULO ESQUELETI. NC
L29.2|DOLOR HUESO NC
L40.1|ARTROSCOPIA
